date,target_capacity,total_capacity,plant_id
2024-05-12,1450,1430.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-13,1520,1520.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-14,1410,1409.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-15,1350,1350.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-16,1420,1420.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-17,1375,1375.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-18,1467,1445.0,-Nx2n3fX4tZXG6DFHj8O
2024-05-19,1524,1537.8622999999998,-Nx2n3fX4tZXG6DFHj8O
2024-05-12,520,519.0,-NxXNR6vVdQY2Av4KVWc
2024-05-13,570,570.0,-NxXNR6vVdQY2Av4KVWc
2024-05-14,550,550.0,-NxXNR6vVdQY2Av4KVWc
2024-05-15,498,497.0,-NxXNR6vVdQY2Av4KVWc
2024-05-16,575,570.0,-NxXNR6vVdQY2Av4KVWc
2024-05-17,536,535.0,-NxXNR6vVdQY2Av4KVWc
2024-05-18,524,524.0,-NxXNR6vVdQY2Av4KVWc
2024-05-19,489,494.0,-NxXNR6vVdQY2Av4KVWc
